Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
2431,"Forderungsverluste 7% USt, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,Außergewöhnlich hohe Forderungsausfälle inkl. USt-Korrektur.,1446,86,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2436,"Forderungsverluste 19% USt, unüblich hoch",Betriebsausgabe,Neutraler Aufwand,Aufwandskonto,Außergewöhnlich hohe Forderungsausfälle inkl. USt-Korrektur.,1445,81,,Umsatzerlöse,Ja,,,8. Sonstige betriebliche Aufwendungen
2494,Abgeführte Gewinne aufgrund von Gewinn- oder Teilgewinnabführungsvertrags,Ergebnisverwendung,Gewinnverwendung,Ergebnisverwendung,Buchung der Gewinnabführung an eine Muttergesellschaft im Rahmen eines Ergebnisabführungsvertrags.,,,,,Nein,,,A.V. Jahresüberschuss/-fehlbetrag (als Minderung)
2495,Einstellungen in die Kapitalrücklage nach den Vorschriften über die vereinfachte Kapitalherabsetzung,Ergebnisverwendung,Rücklagenbewegung,Ergebnisverwendung,Buchung im Rahmen einer vereinfachten Kapitalherabsetzung.,,,,,Nein,,,A.II. Kapitalrücklage
2496,Einstellungen in die gesetzliche Rücklage,Ergebnisverwendung,Rücklagenbewegung,Ergebnisverwendung,Zuführung zur gesetzlichen Rücklage aus dem Jahresüberschuss.,0846,,,,Nein,,,A.III.1. Gesetzliche Rücklage
2497,Einstellungen in satzungsmäßige Rücklage,Ergebnisverwendung,Rücklagenbewegung,Ergebnisverwendung,Zuführung zu satzungsmäßigen Rücklagen aus dem Jahresüberschuss.,0851,,,,Nein,,,A.III.3. Satzungsmäßige Rücklagen
2498,Einstellungen in die Rücklage für eigene Anteile,Ergebnisverwendung,Rücklagenbewegung,Ergebnisverwendung,Zuführung zur Rücklage für eigene Anteile aus dem Jahresüberschuss.,0848,,,,Nein,,,A.III.2. Rücklage für eigene Anteile
2499,Einstellungen in andere Gewinnrücklagen,Ergebnisverwendung,Rücklagenbewegung,Ergebnisverwendung,Zuführung zu freiwilligen Gewinnrücklagen aus dem Jahresüberschuss.,0855,,,,Nein,,,A.III.4. Andere Gewinnrücklagen
2500,Außerordentliche Erträge,Einnahme,Neutraler Ertrag,Ertragskonto,"Erträge, die außergewöhnlich für den Geschäftsbetrieb sind.",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2505,Außerordentliche Erträge nicht finanzwirksam,Einnahme,Neutraler Ertrag,Ertragskonto,"Außergewöhnliche Erträge, die keinen Geldzufluss bewirken (z.B. Zuschreibung).",,,,,Nein,,,4. Sonstige betriebliche Erträge
2510,Sonstige betriebsfremde Erträge,Einnahme,Neutraler Ertrag,Ertragskonto,"Erträge, die nicht mit dem eigentlichen Betriebszweck zusammenhängen.",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2520,Periodenfremde Erträge,Einnahme,Neutraler Ertrag,Ertragskonto,"Erträge, die wirtschaftlich in eine andere Abrechnungsperiode gehören (z.B. Erstattung aus Vorjahr).",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2590,Erträge aus der Anwendung von Übergangsvorschriften,Einnahme,Neutraler Ertrag,Ertragskonto,"Erträge, die sich aus der erstmaligen Anwendung von Gesetzesänderungen (z.B. BilMoG) ergeben.",,,,,Nein,,,4. Sonstige betriebliche Erträge
2670,Diskonterträge,Einnahme,Zinsertrag,Ertragskonto,Erträge aus dem Ankauf von Wechseln vor Fälligkeit.,1200,,,,Nein,,,11. sonstige Zinsen und ähnliche Erträge
2679,Diskonterträge aus verbundenen Unternehmen,Einnahme,Zinsertrag,Ertragskonto,"Wie 2670, jedoch bei Ankauf von einem verbundenen Unternehmen.",1200,,,,Nein,,,11. davon aus verbundenen Unternehmen
2680,Zinsähnliche Erträge,Einnahme,Zinsertrag,Ertragskonto,"Erträge, die Zinscharakter haben (z.B. Verzugszinsen von Kunden).",1200,,,,Nein,,,11. sonstige Zinsen und ähnliche Erträge
2720,Erträge aus dem Abgang von Gegenständen des Anlagevermögens,Einnahme,Anlagenabgang,Ertragskonto,Verkaufserlös beim Verkauf von Anlagegütern.,1400,,,Erlöse aus Anlagenverkäufen,Nein,,,4. Sonstige betriebliche Erträge
2725,Erträge aus dem Abgang von Gegenständen des Umlaufvermögens,Einnahme,Neutraler Ertrag,Ertragskonto,Erlöse aus dem Verkauf von Umlaufvermögen (außer Waren) über Buchwert.,1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2726,Erträge aus dem Abgang Umlaufvermögen zum Teil steuerfrei,Einnahme,Neutraler Ertrag,Ertragskonto,"Wie 2725, wenn der Gewinn steuerlich teilweise steuerfrei ist.",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2732,Erträge aus abgeschriebenen Forderungen,Einnahme,Neutraler Ertrag,Ertragskonto,"Zahlungseingänge auf Forderungen, die bereits als uneinbringlich ausgebucht waren.",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2735,Erträge aus der Auflösung von Rückstellungen,Einnahme,Neutraler Ertrag,Ertragskonto,"Ertragswirksame Auflösung von Rückstellungen, die nicht mehr benötigt werden.",,,,,Nein,,,4. Sonstige betriebliche Erträge
2736,Erträge aus der Herabsetzung von Verbindlichkeiten,Einnahme,Neutraler Ertrag,Ertragskonto,Erträge aus dem teilweisen oder vollständigen Erlass von Schulden durch einen Gläubiger.,,,,,Nein,,,4. Sonstige betriebliche Erträge
2745,Erträge aus Kapitalherabsetzung,Einnahme,Neutraler Ertrag,Ertragskonto,"Erträge, die im Rahmen einer Kapitalherabsetzung entstehen.",,,,,Nein,,,4. Sonstige betriebliche Erträge
2746,Steuerfreie Erträge aus der Auflösung von steuerlichen Rücklagen,Einnahme,Neutraler Ertrag,Ertragskonto,"Auflösung von Rücklagen, die unter bestimmten Voraussetzungen steuerfrei ist.",,,,,Nein,,,4. Sonstige betriebliche Erträge
2747,Sonstige steuerfreie Betriebseinnahmen,Einnahme,Neutraler Ertrag,Ertragskonto,"Betriebseinnahmen, die nach dem EStG oder KStG steuerfrei sind (z.B. bestimmte Zuschüsse).",1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2749,Erstattungen Aufwendungsausgleichsgesetz,Einnahme,Neutraler Ertrag,Ertragskonto,Erstattungen der Krankenkassen für Lohnfortzahlung im Krankheitsfall (U1) oder bei Mutterschaft (U2).,1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2762,"Kostenerstattungen, Rückvergütungen und Gutschriften für frühere Jahre",Einnahme,Neutraler Ertrag,Ertragskonto,Periodenfremde Erträge aus Erstattungen.,1200,,,,Nein,,,4. Sonstige betriebliche Erträge
2764,Erträge aus Verwaltungskostenumlagen,Einnahme,Sonstige betriebliche Erträge,Ertragskonto,Erträge aus der Weiterberechnung von Verwaltungskosten (z.B. an Tochtergesellschaften).,1400,,,,Nein,,,4. Sonstige betriebliche Erträge
2870,Vorabausschüttung,Ergebnisverwendung,Gewinnverwendung,Ergebnisverwendung,Buchung einer bereits vor Feststellung des Jahresabschlusses geleisteten Gewinnausschüttung.,1200,,,,Nein,,,A.V. Jahresüberschuss/-fehlbetrag (als Minderung)
3000,"Materialaufwand Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Materialaufwand,Aufwandskonto,"Aufwand für den Verbrauch von Materialien, die in die Produkte eingehen oder für den Betrieb benötigt werden.",1600,,,,Nein,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3010,"Einkauf Roh-, Hilfs- und Betriebsstoffe 7/5% Vorsteuer",Betriebsausgabe,Materialaufwand,Aufwandskonto,Einkauf von RHB zum ermäßigten Steuersatz.,1600,66,9,,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3030,"Einkauf Roh-, Hilfs- und Betriebsstoffe 19/16% Vorsteuer",Betriebsausgabe,Materialaufwand,Aufwandskonto,Einkauf von RHB zum Regelsteuersatz.,1600,66,9,,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3060,"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 7% VSt. und 7% USt.",Betriebsausgabe,Materialaufwand,Aufwandskonto,Innergemeinschaftlicher Erwerb von RHB zum ermäßigten Steuersatz.,1600,93/61,92,,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3062,"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb 19% VSt. und 19% USt.",Betriebsausgabe,Materialaufwand,Aufwandskonto,Innergemeinschaftlicher Erwerb von RHB zum Regelsteuersatz.,1600,89/61,94,,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3066,"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb ohne VSt. und 7% USt.",Betriebsausgabe,Materialaufwand,Aufwandskonto,"Wie 3060, jedoch ohne Vorsteuerabzugsberechtigung.",1600,93,,Wareneinsatz und Fremdleistungen,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3067,"Einkauf Roh-, Hilfs- und Betriebsstoffe, innergemeinschaftlicher Erwerb ohne VSt. und 19% USt.",Betriebsausgabe,Materialaufwand,Aufwandskonto,"Wie 3062, jedoch ohne Vorsteuerabzugsberechtigung.",1600,89,,Wareneinsatz und Fremdleistungen,Ja,,,"5.a) Aufwendungen für Roh-, Hilfs- und Betriebsstoffe..."
3120,Bauleistungen eines im Inland ansässigen Unternehmers 19/16% Vorsteuer und 19/16% Umsatzsteuer,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,Aufwand für Bauleistungen nach §13b UStG.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3123,Leistungen eines im EU-Land ansässigen Unternehmers 19/16% VSt. und 19/16% USt.,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,Aufwand für sonstige Leistungen aus dem EU-Ausland nach §13b UStG.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3125,Leistungen eines im Drittland ansässigen Unternehmers 19/16% VSt. und 19/16% USt.,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,Aufwand für sonstige Leistungen aus dem Drittland nach §13b UStG.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3143,Leistungen eines im anderen EU-Land ansässigen Unternehmers ohne Vorsteuer und 19/16% Umsatzsteuer,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,"Wie 3123, jedoch ohne Vorsteuerabzugsberechtigung.",1600,84,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3145,Leistungen eines im Drittland ansässigen Unternehmers ohne Vorsteuer und 19/16% Umsatzsteuer,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,"Wie 3125, jedoch ohne Vorsteuerabzugsberechtigung.",1600,84,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3151,"Erhaltene Skonti aus Leistungen nach §13b, 19% VSt u. 19% Ust",Einnahme,Preisnachlässe,Ertragskonto,Skontoabzug von Rechnungen nach §13b mit 19% USt.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen (als Minderung)
3152,"Erhaltene Skonti aus Leistungen nach §13b, 16% VSt u. 16% Ust",Einnahme,Preisnachlässe,Ertragskonto,Skontoabzug von Rechnungen nach §13b mit 16% USt.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen (als Minderung)
3154,"Erhaltene Skonti aus Leistungen nach §13b, ohne Vorsteuer, 19% Ust.",Einnahme,Preisnachlässe,Ertragskonto,"Wie 3151, jedoch ohne Vorsteuerabzugsberechtigung.",1600,84,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Leistungen (als Minderung)
3155,"Erhaltene Skonti aus Leistungen nach §13b, ohne Vorsteuer, 16% Ust.",Einnahme,Preisnachlässe,Ertragskonto,"Wie 3152, jedoch ohne Vorsteuerabzugsberechtigung.",1600,84,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Leistungen (als Minderung)
3160,Leistungen nach §13b UStG mit Vorsteuerabzug,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,Sammelkonto für Aufwendungen nach §13b UStG mit Vorsteuerabzug.,1600,84/67,94,,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3165,Leistungen nach §13b UStG ohne Vorsteuerabzug,Betriebsausgabe,Bezogene Leistungen,Aufwandskonto,Sammelkonto für Aufwendungen nach §13b UStG ohne Vorsteuerabzug.,1600,84,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Leistungen
3200,Wareneingang,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Einkauf von Handelswaren ohne Vorsteuerabzug (z.B. von Kleinunternehmern).,1600,,,,Nein,,,5.b) Aufwendungen für bezogene Waren
3300,Wareneingang - 7/5% Vorsteuer,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Einkauf von Handelswaren zum ermäßigten Vorsteuersatz.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3400,Wareneingang - 19/16% Vorsteuer,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Einkauf von Handelswaren zum Regel-Vorsteuersatz.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3420,Wareneingang EU 7/5% VSt. u. USt,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Innergemeinschaftlicher Erwerb von Handelswaren zum ermäßigten Steuersatz.,1600,93/61,92,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3425,Wareneingang EU 19/16% USt. u. VSt.,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Innergemeinschaftlicher Erwerb von Handelswaren zum Regelsteuersatz.,1600,89/61,94,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3430,Wareneingang EU ohne Vorsteuer und 7% / 5 % Umsatzsteuer,Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Wie 3420, jedoch ohne Berechtigung zum Vorsteuerabzug.",1600,93,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3435,Wareneingang EU ohne Vorsteuer und 19/16% Umsatzsteuer,Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Wie 3425, jedoch ohne Berechtigung zum Vorsteuerabzug.",1600,89,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3440,EU-Erwerb von Neufahrzeugen 19/16% Vorsteuer und 19/16% Umsatzsteuer Lieferanten ohne USt. ID,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Innergemeinschaftlicher Erwerb eines Neufahrzeugs von einer Privatperson oder einem nicht-Unternehmer.,1600,96/61,94,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3550,Steuerfreier innergemeinschaftlicher Erwerb,Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Erwerb von Waren, der unter bestimmten Bedingungen steuerfrei ist (z.B. bei Verbringen in ein USt-Lager).",1600,90,,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren
3558,Wareneingang im anderen EU-Land steuerbar,Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Erwerb von Waren im Rahmen von Reihengeschäften, wenn der Erwerb in einem anderen EU-Land steuerbar ist.",1600,,,,Nein,,,5.b) Aufwendungen für bezogene Waren
3559,Wareneingang Drittland (Steuerfreie Einfuhren),Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Einfuhr von Waren, die von der Einfuhrumsatzsteuer befreit ist.",1600,,,,Nein,,,5.b) Aufwendungen für bezogene Waren
3600,Nicht abziehbare Vorsteuer (Waren-EK),Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Als Aufwand gebuchte Vorsteuer, die nicht abzugsfähig ist und direkt den Anschaffungskosten zugerechnet wird.",1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren
3610,Nicht abziehbare Vorsteuer 7% (Waren-EK),Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Wie 3600, für den ermäßigten Steuersatz.",1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren
3660,Nicht abziehbare Vorsteuer 19% (Waren-EK),Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Wie 3600, für den Regelsteuersatz.",1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren
3700,Nachlässe,Betriebsausgabe,Preisnachlässe,Aufwandskonto,"Erhaltene Preisnachlässe (Boni, Rabatte) ohne Vorsteuer, die den Wareneinsatz mindern.",1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3701,"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Preisnachlässe,Aufwandskonto,"Erhaltene Preisnachlässe ohne Vorsteuer, die den Materialaufwand mindern.",1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.a) Aufwendungen für RHB (als Minderung)
3710,Nachlässe 7/5% VSt,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe mit Vorsteuerkorrektur (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3714,"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7/5% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für RHB mit Vorsteuerkorrektur (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3715,"Nachlässe aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19/16% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für RHB mit Vorsteuerkorrektur (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3717,"Nachlässe Einkauf Roh-, Hilfs- und Betriebsstoffe, EU-Erwerb 7/5% VSt und USt",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für i.g. Erwerb von RHB (ermäßigter Satz).,1600,93/61,92,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3718,"Nachlässe Einkauf Roh-, Hilfs- und Betriebsstoffe, EU-Erwerb 19/16% VSt und USt",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für i.g. Erwerb von RHB (Regelsatz).,1600,89/61,94,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3720,Nachlässe 19/16% VSt,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe mit Vorsteuerkorrektur (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3724,Nachlässe EU-Erwerb 7/5% Vorsteuer und 7/5% Umsatzsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für i.g. Erwerb von Waren (ermäßigter Satz).,1600,93/61,92,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3725,Nachlässe EU-Erwerb 19/16% Vorsteuer und 19/16% Umsatzsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Preisnachlässe für i.g. Erwerb von Waren (Regelsatz).,1600,89/61,94,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3730,Erhaltene Skonti,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Skonti ohne Vorsteuerkorrektur.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3731,Erhaltene Skonti - 7% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von Rechnungen mit 7% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3732,Erhaltene Skonti - 5% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von Rechnungen mit 5% Vorsteuer (temporär gesenkt).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3733,"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Skonti für RHB ohne Vorsteuerkorrektur.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.a) Aufwendungen für RHB (als Minderung)
3734,"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von RHB-Rechnungen mit 7% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3735,"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 5% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von RHB-Rechnungen mit 5% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3736,Erhaltene Skonti - 19% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von Rechnungen mit 19% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3737,Erhaltene Skonti - 16% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von Rechnungen mit 16% Vorsteuer (temporär gesenkt).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3738,"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von RHB-Rechnungen mit 19% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3739,"Erhaltene Skonti aus Einkauf Roh-, Hilfs- und Betriebsstoffe 16% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Skontoabzug von RHB-Rechnungen mit 16% Vorsteuer.,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3750,Erhaltene Boni - 7/5% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Nachträglich erhaltene Boni mit Vorsteuerkorrektur (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3753,"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Nachträglich erhaltene Boni für RHB ohne Vorsteuerkorrektur.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.a) Aufwendungen für RHB (als Minderung)
3754,"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7/5% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Nachträglich erhaltene Boni für RHB (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3755,"Erhaltene Boni aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19/16% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Nachträglich erhaltene Boni für RHB (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3760,Erhaltene Boni - 19/16% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Nachträglich erhaltene Boni mit Vorsteuerkorrektur (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3769,Erhaltene Boni,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Sammelkonto für erhaltene Boni ohne Vorsteuer.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3770,Erhaltene Rabatte,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Sammelkonto für erhaltene Rabatte ohne Vorsteuer.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3780,Erhaltene Rabatte 7/5% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Rabatte mit Vorsteuerkorrektur (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3783,"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Rabatte für RHB ohne Vorsteuerkorrektur.,1600,,,Wareneinsatz und Fremdleistungen,Nein,,,5.a) Aufwendungen für RHB (als Minderung)
3784,"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 7/5% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Rabatte für RHB (ermäßigter Satz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3785,"Erhaltene Rabatte aus Einkauf Roh-, Hilfs- und Betriebsstoffe 19/16% Vorsteuer",Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Rabatte für RHB (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.a) Aufwendungen für RHB (als Minderung)
3790,Erhaltene Rabatte 19/16% Vorsteuer,Betriebsausgabe,Preisnachlässe,Aufwandskonto,Erhaltene Rabatte mit Vorsteuerkorrektur (Regelsatz).,1600,66,9,Wareneinsatz und Fremdleistungen,Ja,,,5.b) Aufwendungen für bezogene Waren (als Minderung)
3800,Anschaffungsnebenkosten,Betriebsausgabe,Wareneinkauf,Aufwandskonto,"Nebenkosten des Wareneinkaufs wie Fracht, Verpackung, Versicherung.",1600,,,,Nein,,,5.b) Aufwendungen für bezogene Waren
3850,Zölle und Einfuhrabgaben,Betriebsausgabe,Wareneinkauf,Aufwandskonto,Anschaffungsnebenkosten für Waren aus Drittländern (ohne Einfuhrumsatzsteuer).,1600,,,,Nein,,,5.b) Aufwendungen für bezogene Waren
4100,Löhne und Gehälter,Betriebsausgabe,Personalkosten,Aufwandskonto,Sammelkonto für Bruttolöhne und -gehälter.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4110,Löhne,Betriebsausgabe,Personalkosten,Aufwandskonto,Bruttolöhne für gewerbliche Arbeitnehmer.,1740,,,,Nein,,,6.a) Löhne und Gehälter
4120,Gehälter,Betriebsausgabe,Personalkosten,Aufwandskonto,Bruttogehälter für Angestellte.,1740,,,,Nein,,,6.a) Löhne und Gehälter
